route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
M1,weekday,WD_T081,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T082,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T083,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T084,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T085,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T086,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T087,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T088,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T089,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T090,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T091,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T092,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T093,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T094,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T095,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T096,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T097,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T098,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T099,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T100,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T101,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T102,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T103,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T104,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T105,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T106,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T107,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T108,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T109,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T110,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T111,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T112,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T113,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T114,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T115,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T116,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T117,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T118,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T119,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T120,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T121,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T122,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T123,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T124,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T125,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T126,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T127,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T128,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T129,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T130,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T131,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T132,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T133,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T134,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T135,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T136,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T137,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T138,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T139,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T140,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T141,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T142,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T143,Lebak Bulus BSI,0,shape_M1_0
M1,weekday,WD_T144,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T145,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T146,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T147,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T148,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T149,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T150,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T151,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T152,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T153,Bundaran HI Bank Jakarta,1,shape_M1_1
