shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape_M1_0,-6.2534193,106.7973309,88,8009.9353392791845
shape_M1_0,-6.2544778,106.7972525,89,8127.323724235176
shape_M1_0,-6.2557819,106.7971191,90,8272.307347648104
shape_M1_0,-6.2567725,106.7970155,91,8382.463381080097
shape_M1_0,-6.2573577,106.7969569,92,8447.50905267293
shape_M1_0,-6.2578094,106.7969155,93,8497.675534586944
shape_M1_0,-6.260169,106.7966999,94,8759.729527987025
shape_M1_0,-6.2612338,106.7965991,95,8878.020751389995
shape_M1_0,-6.2615446,106.7965879,96,8912.41674144606
shape_M1_0,-6.2617505,106.7966363,97,8935.810216348711
shape_M1_0,-6.2620431,106.7966721,98,8968.412628470718
shape_M1_0,-6.2623132,106.7967414,99,8999.253776612853
shape_M1_0,-6.2631778,106.7970055,100,9099.243378218278
shape_M1_0,-6.2639376,106.7972424,101,9187.270173886309
shape_M1_0,-6.2643021,106.7973341,102,9228.84067614592
shape_M1_0,-6.2645003,106.7973678,103,9251.0760881041
shape_M1_0,-6.2647055,106.797384,104,9273.841377667504
shape_M1_0,-6.2651621,106.7973946,105,9324.353769395875
shape_M1_0,-6.2654988,106.7974004,106,9361.597442825218
shape_M1_0,-6.2658742,106.7973902,107,9403.13104680668
shape_M1_0,-6.2666958,106.7973445,108,9494.138506002751
shape_M1_0,-6.2674231,106.7973107,109,9574.662918670876
shape_M1_0,-6.2676417,106.797309,110,9598.840241247326
shape_M1_0,-6.2682515,106.7973318,111,9666.329719013042
shape_M1_0,-6.2696841,106.7974411,112,9825.232618679864
shape_M1_0,-6.2700099,106.7974683,113,9861.39077207304
shape_M1_0,-6.2701937,106.7974452,114,9881.87869467593
shape_M1_0,-6.2718347,106.7975569,115,10063.789557782455
shape_M1_0,-6.2728482,106.7976148,116,10176.063050968174
shape_M1_0,-6.2732061,106.7976291,117,10215.677496087292
shape_M1_0,-6.2740178,106.7976542,118,10305.492402249647
shape_M1_0,-6.2748893,106.7976899,119,10401.959012393474
shape_M1_0,-6.2763677,106.7977179,120,10565.495643530146
shape_M1_0,-6.2765666,106.7977148,121,10587.496152378753
shape_M1_0,-6.27673,106.7977026,122,10605.618140644294
shape_M1_0,-6.2770032,106.7976605,123,10636.190458749972
shape_M1_0,-6.2772552,106.7976113,124,10664.587883546405
shape_M1_0,-6.2776165,106.7975158,125,10705.920757728796
shape_M1_0,-6.2783627,106.7973012,126,10791.79772501347
shape_M1_0,-6.2788387,106.7971668,127,10846.502864936301
shape_M1_0,-6.2791808,106.7970716,128,10885.777675628698
shape_M1_0,-6.279414,106.7970025,129,10912.67877279309
shape_M1_0,-6.2796151,106.7969646,130,10935.311934656618
shape_M1_0,-6.2803536,106.7966283,131,11025.067701964534
shape_M1_0,-6.2804974,106.7965644,132,11042.472898732272
shape_M1_0,-6.2807771,106.7964684,133,11075.18047183067
shape_M1_0,-6.2810617,106.7963824,134,11108.06386540917
shape_M1_0,-6.2818209,106.7961692,135,11195.281307636615
shape_M1_0,-6.2821011,106.7961093,136,11226.971744138136
shape_M1_0,-6.2823792,106.7960836,137,11257.86009201889
shape_M1_0,-6.2841352,106.7959796,138,11452.409820879739
shape_M1_0,-6.2847708,106.7959307,139,11522.913503255739
shape_M1_0,-6.2854603,106.7958476,140,11599.722906817256
shape_M1_0,-6.2860123,106.7957751,141,11661.297606512331
shape_M1_0,-6.2866175,106.7956696,142,11729.241740601447
shape_M1_0,-6.2874051,106.7954995,143,11818.358981401514
shape_M1_0,-6.287582,106.7954642,144,11838.309840055234
shape_M1_0,-6.2877277,106.7954357,145,11854.729626977933
shape_M1_0,-6.2878769,106.7954167,146,11871.3641745969
shape_M1_0,-6.2880322,106.7953703,147,11889.291063798004
shape_M1_0,-6.2883426,106.795325,148,11923.984579776425
